"title","director","cast","country","date_added","release_year","rating","duration","listed_in","description"
"Higher Ed","Jean Claude LaMarre","","","",2021,"13+","75 min","Comedy","Ed (Pras from the Fugees) enters college on a track scholarship to escape some thugs from his past. Campus life, however, is filled with hurdles, and Ed's stoner roommate, Bud (Aries Spears), makes it hard not to fall back on old habits. But Ed's romantic interest, Lisa (Leila Arcieri), provides the incentive for Ed, if only he can win her away from her jock boyfriend, Craig (Hill Harper)."
"Hellbox","David Scott, Sheldon Inkol, Robin Sen","","","",2021,"13+","118 min","Horror","The Knights of the Holy Brotherhood discovered an ancient box which legend claimed contained a piece of hell. They vowed to keep its contents hidden from those who would try and exploit it, but the curse within can not be contained! Today, a conspiracy unfolds that entwines a group of college girls, a psychiatrist, and a couple. Will their sanity prevail in the struggle to save their souls?"
"Gone with the Light","Runnian Dong","Bo Huang, Luodan Wang, Zhuo Tan, Bai-Ke, Lu Huang","","",2018,"13+","131 min","Romance, Science Fiction","Part of the people living on earth were disappeared after a sudden white light. The film revolves around a group of people that disappear after a mysterious light falls upon the city, leaving the survivors to try and unravel the mystery."
"Goldmedal","UDAY KUMAR MUNTHA","UDAY KUMAR MUNTHA, DEVI SREE, RATNA, RAMESH(RAVI), RUKMINI, CHANAKYA, BHAVANI, NARESH","","",2021,"13+","59 min","Drama","Humans are connected to Gold metal in one way or another. How this precious metal effected the life of a student in different phases of his life and how he handled those situations is the crux of the story..."
"Girls' Night In","Emmett Loverde","Tiana Tuttle, Alexis Phillips, Samantha Skelton","","",2021,"16+","91 min","Comedy, Drama","A girl's night-in dinner party turns devastating and goes their separate ways until they realize they are stronger, braver, and happier together."
"Elfette Saves Christmas","Christian Cashmir","Quinton Aaron, Ashleigh Blackburn, Anais L. Blake","","",2019,"13+","97 min","Comedy, Kids, Science Fiction","Elfette has to save the day when Santa Claus is kidnapped by the mafia, who try to take over Christmas."
"Ashes That Swarm","Jerard McKinzie","","","",2021,"16+","54 min","Drama","Carl, a mentally unstable drifter finds himself at a crossroads inside a hotel room in a small Georgia town. Fighting ghosts from his past, he finds a glimmer of hope in a shrewd streetwalker, Tammy, who desperately yearns for a brighter future."
"The Gospel of Matthew","David Batty","Selva Rasalingam, Karima Gouit","","",2018,"ALL","191 min","Documentary, Drama","This critically acclaimed, epic production - five years in the making - is the first-ever word-for-word account of the life of Jesus as recorded in the biblical Gospel of Matthew"
"The Darkness","Tharun Mohan","Amelia Eve, Jo Hart, Adam Bond","","",2021,"18+","95 min","Horror, Suspense","A writer retreats to the country to focus on her new novel, but her plans to work in the tranquil surroundings are disrupted by an ominous presence in the house. As she grows more obsessed with discovering the truth behind this spirit, her grip on reality erodes, as she hurtles towards the point of no return."
"The Angel Of Auschwitz","Terry Coker","Noeleen Comiskey, Michael Mckell, Steven Bush","","",2021,"16+","102 min","Drama","Based on True Events. A midwife is sent to Auschwitz and is recruited to help in the camp hospital. Discovering that a doctor is experimenting on children and pregnant women, she vows to save as many potential victims as possible."
"RiffTrax: Yor Hunter From The Future","Michael J. Nelson","Michael J. Nelson, Kevin Murphy, Bill Corbett, Reb Brown, Corinne Clery, John Steiner, Carole Andre, Luciano Pigozzi, Mystery Science Theater 3000 Guys","","",2019,"13+","83 min","Comedy, Science Fiction","With an over-the-top theme song, cheesy creature effects, and a ridiculous final act that will truly surprise anybody who didn't finish reading the title, this flick is truly an 80s cheese connoisseur's delight. This feature is a parody and contains the original movie combined with a comedic commentary by Mike, Kevin and Bridget from RiffTrax (formerly of MST3K)."
"Pasture","Sean Hardaway","Abigail Rose, Brian Kelly, Kimberley Pember, Scott Scurlock, Sarah J. Bartholomew, Hunter Brosig, Justin Ray","","",2021,"18+","100 min","Horror","In this Lynchian nightmare a Young woman seeking treatment for her schizophrenia is taken captive by a deranged doctor and subjected to illegal experimentation."
"I Am Lisa","Patrick Rea","Kristen Vaganos, Jennifer Seward, Manon Halliburton, Carmen Anello, Chris Bylsma","","",2021,"18+","92 min","Horror","A young woman barely survives a brutal beating by a local sheriff, and a subsequent wolf attack. She awakens in a remote cabin in the woods, to discover that she has gained strange, new powers...powers she can use to exact revenge upon her attackers."
"Gary Owen: #DoinWhatIDo","Brian Volk-Weiss","Gary Owen","","",2019,"18+","63 min","Arts, Entertainment, and Culture, Comedy, Special Interest","In #DoinWhatIDo Gary Owen hilariously bridges the ""lanes"" of black and white cultures as only he can, both in his home and on social media. From Black Twitter, his daughter's homecoming date, to the rules of when we can and cannot use the N-word, no one does it better!"
"Digley and Dazey - London Bridge Is Falling Down & More Nursery Rhymes and Kids Songs","Moonbug Entertainment","","","",2020,"ALL","14 min","Kids","Best friends Digley and Dazey are part of a crack construction team, who go around building and fixing things in need of repair. Working hard as a team and using their creativity, they always save the day and learn new things along the way"
"The Bag Girls","Wil Lewis III","Jamal Woolard, La Love The Boss, 3D Na'tee, Crystal The Doll, Carmen Mi'chelle","","",2020,"18+","93 min","Action, Drama, Suspense","When life changes dramatically for Deandrea, she engages three female partners to perform dangerous heists in the corrupt streets of Miami."
"Sundari","Kalyanji Gogana","Poorna, Arjun Ambati, Sri Sudha Bhimireddy, Rakendu Mouli","","",2021,"13+","110 min","Drama, Suspense","A village girl is married to a software employee but life takes a turn when her husband loses his job and she is forced to take a few steps that leads her to an emotional turmoil."
"SheBorg","Daniel Armstrong","Whitney Duff, Daisy Masterman, Emma-Louise Wilson, Jasy Holt, Tommy Hellfire","","",2018,"18+","87 min","Horror, Science Fiction","Special Feature presentation at Stages Film Festival. SheBorg, a half-alien half-robot creature that has crashed onto earth and turns human into her evil robotic lackeys. Witnessing the human race doomed, a group decide that no alien will push their planet around. They must defeat SheBorg to save the world from complete catastrophe before it's too late."
"Riverhead","Justin Oakey","Lawrence Barry","","",2017,"18+","90 min","Drama","As winter creeps towards his home in rural Newfoundland, widower Patrick Whelan finds himself at odds with a young man who just returned home from the penitentiary and is determined to breathe new life into a long-standing blood feud. As violence erupts, Patrick is left plagued by guilt and fractured home life."
"RiffTrax: Dinosaurus","Michael J. Nelson","Michael J. Nelson, Kevin Murphy, Bill Corbett, Ward Ramsey, Paul Lukather, Kristina  Hanson, Alan Roberts, Mystery Science Theater 3000 Guys","","",2014,"13+","82 min","Comedy, Fantasy","Time for Dinosaurus! Not to be confused with Dinosaur U.S., the traveling show where patriotic velociraptors do a leggy synchronized dance to entertain the troops. This feature is a parody and contains the original movie combined with a comedic commentary by Mike, Kevin and Bill from RiffTrax (formerly of MST3K)."
"RiffTrax: Day of the Shorts: SF Sketchfest 2019","Michael J. Nelson","Kevin Murphy, Bill Corbett, Bridget Nelson, Paul F. Tompkins, John Hodgman, Janet Varney, Frank Conniff, Trace Beaulieu, Mystery Science Theater 3000 Guys","","",2019,"13+","108 min","Comedy","Performed and recorded live at SF Sketchfest in the beautiful Castro Theatre, now available for The Comfort Of Your Own Home Fest, it's Day of the Shorts: Sketchfest 2019! This feature is a parody and contains the original shorts combined with a comedic commentary by Mike, Kevin and Bill from RiffTrax (formerly of MST3K) and other comedy guests."
"RiffTrax: Contamination","Michael J. Nelson","Michael J. Nelson, Kevin Murphy, Bill Corbett, Ian McCulloch, Louise Marleau, Marino Mase, Siegfried Rauch, Gisela Hahn, Mystery Science Theater 3000 Guys","","",2019,"18+","85 min","Comedy, Science Fiction","Delivered straight from Mars to a mysterious abandoned boat to the sewers of New York City to your very own home, it's a big steaming pile of Contamination! This feature is a parody and contains the original movie combined with a comedic commentary by Mike, Kevin and Bill from RiffTrax (formerly of MST3K)."
"RiffTrax: Blood Theatre","Michael J. Nelson","Michael J. Nelson, Kevin Murphy, Bill Corbett, Mary Woronov, Jenny Cunningham, Jonathan Blakely, Andrew Cofrin, Mystery Science Theater 3000 Guys","","",2019,"18+","75 min","Comedy, Horror","Every time the Blood Theatre has opened for business, someone has died. But this time, the most incompetent theater owner in town has a good feeling about his chances! This feature is a parody and contains the original movie combined with a comedic commentary by Mike, Kevin and Bill from RiffTrax (formerly of MST3K)."
"RiffTrax: Astro-Zombies","Michael J. Nelson","Michael J. Nelson, Kevin Murphy, Bill Corbett, John Carradine, Wendell Corey, Tom Pace, Joan Patrick, Tura Satana, Mystery Science Theater 3000 Guys","","",2016,"13+","92 min","Comedy, Horror","Reuniting Tom ""The Kid"" Pace with his Girl in Gold Boots director Ted V. Mikels, Astro-Zombies are neither zombies nor the dog from The Jetsons. This feature is a parody and contains the original movie combined with a comedic commentary by Mike, Kevin and Bill from RiffTrax (formerly of MST3K)."
"RiffTrax Presents High School Hero","Michael J. Nelson","Bridget Nelson, Mary Jo Pehl, Freddie Stewart, June Preisser, Noel Neill, Anne Rooney, Jackie Moran, Mystery Science Theater 3000 Guys","","",2019,"13+","69 min","Comedy, Drama","Bridget and Mary Jo leave it all on the field with yet another Teen-Agers film, High School Hero, featuring zero actual teenagers. This feature is a parody and contains the original movie combined with a comedic commentary by Mary Jo and Bridget from RiffTrax."
"Murder in the Cove","Megan Wennberg","","","",2021,"13+","52 min","Documentary","A cluster of postcard-perfect Acadian fishing villages off the coast of Nova Scotia, Canada made international news when Phillip Boudreau, a man known for poaching, was killed by fishermen in a crime the media dubbed 'Murder for Lobster.' But as anyone from the community will tell you, it's a lot more complicated than that. People don't just go around killing each other over lobster."
"Ksheera Sagara Madhanam","Anil Panguluri","Maanas Nagulapalli, Akshata Sonawane, Gowtham Setty, Sanjay Rao","","",2021,"16+","142 min","Action, Drama","Govind, Omkar, Priyanth, Bharath, Ishita, and Virita are six software engineers who work in the same company. On the other hand, Rishi is a cab driver in this company who is somehow connected to Ishita. In all this, the character of Omkar creates an issue that gets everyone in trouble. How they get out and how all the different tracks are connected to each other is the basic story."
"Future Fear","Ken May","Kaylith Von Kola, Otis Johnson, Raven Ebner, Rigel Blatt, Ken May, Kristen Horgen","","",2021,"16+","93 min","Action, Science Fiction","In a distant future, an archeologist on the run from alien attackers takes refuge in ancient ruins and is forced to use primitive technology to fight her way off the planet."
